     Omega (cm-1)     IR (km mol-1)      Config.
      1169.6826        0.163929E+01       1_1
      1255.9453        0.155107E+02       2_1
      1514.4065        0.621064E+01       3_1
      1753.8507        0.101485E+03       4_1
      2814.7026        0.547241E+02       5_1
      2923.4876        0.164140E+03       6_1
