     Omega (cm-1)     IR (km mol-1)      Config.
      1307.3072        0.859266E+02       9_1
      1559.8806        0.212106E+03      10_1
      1691.1466        0.299567E+03      11_1
      3358.4457        0.891001E+02      12_1
