mkg-q9-11-2,        -320.8464503280177,  1.321597380E-01,-3.002390620E-01,-2.168002760E+00
mkg-q9-11-7,        -320.8542021292724, -1.709368340E-01,-2.895848650E-01,-2.172469420E+00
mkg-q10-11-0,        -320.8051387191676,  3.831866730E-01,-3.561197620E-01,-2.486635390E+00
mkg-q10-11-4,        -320.8577802419054,  1.532576170E-02,-3.033454440E-01,-2.225068920E+00
mkg-q10-11-9,        -320.8317689669092, -3.329125440E-01,-2.510830360E-01,-1.957622360E+00
mkg-q11-11-2,        -320.8457093717021, -5.947973080E-02,-3.054285660E-01,-2.455066130E+00
mkg-q11-11-7,        -320.8516679555498, -4.453877100E-02,-2.844032910E-01,-1.968230680E+00
mkg-q12-11-0,        -320.8078071838993, -9.044196750E-02,-2.721879410E-01,-2.372792280E+00
mkg-q12-11-4,        -320.8563727525706, -5.915619100E-02,-2.899258580E-01,-2.209994200E+00
mkg-q12-11-9,        -320.7366309752587, -2.184259850E-02,-3.037024530E-01,-2.020073890E+00
mkg-eq,        -320.8593473673506, -5.185691400E-02,-2.932009070E-01,-2.173639940E+00
mkg-q9-11-3,        -320.8538956759660,  6.928326600E-02,-2.977391730E-01,-2.171095730E+00
mkg-q9-11-8,        -320.8473622830967, -2.314909390E-01,-2.882225920E-01,-2.170490960E+00
mkg-q10-11-1,        -320.8290602228803,  2.614594960E-01,-3.392874120E-01,-2.404262750E+00
mkg-q10-11-6,        -320.8578071488102, -1.172225540E-01,-2.832892500E-01,-2.123061910E+00
mkg-q10-11-10,        -320.8113388724018, -4.317562060E-01,-2.369016130E-01,-1.885186710E+00
mkg-q11-11-3,        -320.8531950341902, -5.730883930E-02,-3.013864480E-01,-2.362102680E+00
mkg-q11-11-8,        -320.8402035893552, -3.998823410E-02,-2.795537180E-01,-1.852827140E+00
mkg-q12-11-1,        -320.8244082091563, -8.162152270E-02,-2.778051460E-01,-2.325471720E+00
mkg-q12-11-6,        -320.8553667026700, -4.446637930E-02,-2.962213940E-01,-2.137072620E+00
mkg-q12-11-10,        -320.5842752540264, -1.416057230E-02,-3.054047790E-01,-1.973318840E+00
mkg-q9-11-0,        -320.8151867867874,  2.694539610E-01,-3.052677440E-01,-2.154558670E+00
mkg-q9-11-4,        -320.8580167666232,  8.172447660E-03,-2.953746570E-01,-2.172884110E+00
mkg-q9-11-9,        -320.8367620561131, -2.946187720E-01,-2.872432270E-01,-2.167333060E+00
mkg-q10-11-2,        -320.8437356740952,  1.672675450E-01,-3.258192850E-01,-2.337655780E+00
mkg-q10-11-7,        -320.8530986539862, -1.834774870E-01,-2.732678560E-01,-2.071680840E+00
mkg-q11-11-0,        -320.8192285392216, -6.305180960E-02,-3.141449230E-01,-2.657553800E+00
mkg-q11-11-4,        -320.8577594610757, -5.478638350E-02,-2.973359220E-01,-2.268999120E+00
mkg-q11-11-9,        -320.8203634236684, -3.465385550E-02,-2.741635250E-01,-1.722284600E+00
mkg-q12-11-2,        -320.8379467136237, -7.384265590E-02,-2.823655260E-01,-2.284729090E+00
mkg-q12-11-7,        -320.8402747518039, -3.696504630E-02,-2.990005830E-01,-2.099770070E+00
mkg-q9-11-1,        -320.8345315643080,  1.979159970E-01,-3.027894400E-01,-2.163018540E+00
mkg-q9-11-6,        -320.8580902555513, -1.113533550E-01,-2.912593130E-01,-2.173493320E+00
mkg-q9-11-10,        -320.8201680435440, -3.645307180E-01,-2.867958280E-01,-2.162367270E+00
mkg-q10-11-3,        -320.8528166144246,  8.715996110E-02,-3.140726710E-01,-2.279038640E+00
mkg-q10-11-8,        -320.8447732780334, -2.537691820E-01,-2.627375330E-01,-2.017534850E+00
mkg-q11-11-1,        -320.8349087549466, -6.136095450E-02,-3.095827170E-01,-2.551080720E+00
mkg-q11-11-6,        -320.8575752887407, -4.846370410E-02,-2.889153830E-01,-2.074117930E+00
mkg-q11-11-10,        -320.7849212835415, -2.814524710E-02,-2.677091420E-01,-1.562496040E+00
mkg-q12-11-3,        -320.8487979233756, -6.643967360E-02,-2.863458430E-01,-2.246739830E+00
mkg-q12-11-8,        -320.8062658904436, -2.939756000E-02,-3.015164090E-01,-2.061130840E+00
