     Omega (cm-1)     IR (km mol-1)      Config.
      1307.3072        0.859266E+02       9_1
      1559.8806        0.212106E+03      10_1
      1691.1466        0.299567E+03      11_1
      2857.3172        0.209350E+01       9_1   10_1
      3093.3085        0.863930E+01      10_2
      3252.4253        0.373897E+00      10_1   11_1
      3347.8462        0.769282E+02      12_1
