mkg-q5-11-10,        -114.3435728628075,     0.5449356690E-15,    -0.3686287390E-17,    -0.9429220080E+00
mkg-q6-11-0,        -114.3951350665561,    -0.2151579670E-15,     0.2902894470E+00,    -0.6945598170E+00
mkg-q6-11-1,        -114.4487639402088,     0.1257734900E-14,     0.2284366570E+00,    -0.7424954540E+00
mkg-q6-11-2,        -114.4783346767490,     0.6742307630E-15,     0.1704171780E+00,    -0.7751788610E+00
mkg-q6-11-3,        -114.4955816423014,    -0.5260617030E-15,     0.1134402130E+00,    -0.7971905550E+00
mkg-q6-11-4,        -114.5047523185379,     0.6994225400E-15,     0.5670640680E-01,    -0.8100232770E+00
mkg-q6-11-6,        -114.5047523185373,    -0.5774138370E-16,    -0.5670640680E-01,    -0.8100232770E+00
mkg-q6-11-7,        -114.4955816423019,    -0.9475059750E-15,    -0.1134402130E+00,    -0.7971905550E+00
mkg-q6-11-8,        -114.4783346767491,     0.9660916000E-15,    -0.1704171780E+00,    -0.7751788610E+00
mkg-q6-11-9,        -114.4487639402084,     0.8215099530E-15,    -0.2284366570E+00,    -0.7424954540E+00
mkg-q6-11-10,        -114.3951350665556,    -0.4925710030E-15,    -0.2902894470E+00,    -0.6945598170E+00
